scan_time,vessel_name,mmsi_number,imo_number,vessel_type,ship_flag,year_built,length
2026-02-25 13:42:51,,710006242,,,BR,,0
2026-02-25 13:42:51,LOG-IN RESILIENTE,710098000,9327669,,BR,2006.0,212
2026-02-25 13:42:51,REBOCADOR BH,710026740,,,BR,,9
2026-02-25 13:42:51,ARARA I,710000252,,,BR,,14
2026-02-25 13:42:51,EL REIS XX,710999124,,,BR,,14
2026-02-25 13:42:51,,710007274,,,BR,,11
2026-02-25 13:42:51,GUDE SOLUTION,710019930,,,BR,,0
2026-02-25 13:42:51,POSTNIK YAKOVLEV,253349000,9519248,,LU,,65
2026-02-25 13:42:51,CALHETAS,710008110,,,BR,,12
2026-02-25 13:42:51,,710005472,,,BR,,10
2026-02-25 13:42:51,HONESTY,636014864,9416393,,LR,2011.0,183
2026-02-25 13:42:51,WS AQUILA,710000230,9307668,,BR,,29
2026-02-25 13:42:51,SAGAMORIM II,710009870,,,BR,,32
2026-02-25 13:42:51,FUGRO AQUARIUS,710001811,9657698,,BR,,82
2026-02-25 13:42:51,SAAM PAITER,710025630,,,BR,,24
2026-02-25 13:42:51,SINNDAR,565962000,,,SG,,225
2026-02-25 13:42:51,CLEAN JUSTICE,636021336,9473717,,LR,2011.0,181
2026-02-25 13:42:51,SC-53,745086129,,,GF,,62
2026-02-25 13:42:51,BOW HARMONY,257441000,9379909,,NO,2008.0,170
2026-02-25 13:42:51,LUCIO COSTA,710029860,9596856,,BR,,118
2026-02-25 13:42:51,HUGO,710014960,9685578,,BR,,30
2026-02-25 13:42:51,SAAM PANARA,710015850,,,BR,,26
2026-02-25 13:42:51,SVITZER MARIA DARIAN,710030670,,,BR,,32
2026-02-25 13:42:51,SAAM PARINTINS,710024840,9668702,,BR,,22
2026-02-25 13:42:51,SVITZER SONIA,710002788,9787883,,BR,,24
2026-02-25 13:42:51,AQUARIUS,710002070,9341823,,BR,2006.0,32
2026-02-25 13:42:51,STINGER,636017008,9762871,,LR,,180
2026-02-25 13:42:51,JAN BLANKEN,209418000,9516648,,CY,2010.0,96
2026-02-25 13:42:51,MSC AURIGA,255806338,9857183,,PT,,366
2026-02-25 13:42:51,GRANDE LAGOS,247341100,9672088,,IT,,236
2026-02-25 14:00:03,,710006242,,,BR,,0
2026-02-25 14:00:03,LOG-IN RESILIENTE,710098000,9327669,,BR,2006.0,212
2026-02-25 14:00:03,REBOCADOR BH,710026740,,,BR,,9
2026-02-25 14:00:03,ARARA I,710000252,,,BR,,14
2026-02-25 14:00:03,EL REIS XX,710999124,,,BR,,14
2026-02-25 14:00:03,,710007274,,,BR,,11
2026-02-25 14:00:03,GUDE SOLUTION,710019930,,,BR,,0
2026-02-25 14:00:03,POSTNIK YAKOVLEV,253349000,9519248,,LU,,65
2026-02-25 14:00:03,CALHETAS,710008110,,,BR,,12
2026-02-25 14:00:03,,710005472,,,BR,,10
2026-02-25 14:00:03,HONESTY,636014864,9416393,,LR,2011.0,183
2026-02-25 14:00:03,WS AQUILA,710000230,9307668,,BR,,29
2026-02-25 14:00:03,SAGAMORIM II,710009870,,,BR,,32
2026-02-25 14:00:03,FUGRO AQUARIUS,710001811,9657698,,BR,,82
2026-02-25 14:00:03,SAAM PAITER,710025630,,,BR,,24
2026-02-25 14:00:03,SINNDAR,565962000,,,SG,,225
2026-02-25 14:00:03,CLEAN JUSTICE,636021336,9473717,,LR,2011.0,181
2026-02-25 14:00:03,SC-53,745086129,,,GF,,62
2026-02-25 14:00:03,BOW HARMONY,257441000,9379909,,NO,2008.0,170
2026-02-25 14:00:03,LUCIO COSTA,710029860,9596856,,BR,,118
2026-02-25 14:00:03,HUGO,710014960,9685578,,BR,,30
2026-02-25 14:00:03,SAAM PANARA,710015850,,,BR,,26
2026-02-25 14:00:03,SVITZER MARIA DARIAN,710030670,,,BR,,32
2026-02-25 14:00:03,SAAM PARINTINS,710024840,9668702,,BR,,22
2026-02-25 14:00:03,SVITZER SONIA,710002788,9787883,,BR,,24
2026-02-25 14:00:03,AQUARIUS,710002070,9341823,,BR,2006.0,32
2026-02-25 14:00:03,STINGER,636017008,9762871,,LR,,180
2026-02-25 14:00:03,JAN BLANKEN,209418000,9516648,,CY,2010.0,96
2026-02-25 14:00:03,MSC AURIGA,255806338,9857183,,PT,,366
2026-02-25 14:00:03,GRANDE LAGOS,247341100,9672088,,IT,,236
